pos	V
0.0	0.007
0.5	0.003
1.0	0.011
1.5	0.025
2.0	0.032
2.5	0.033
3.0	0.016
3.5	0.002
4.0	0.009
4.5	0.040
5.0	0.073
5.5	0.070
6.0	0.035
6.2	0.004
6.4	0.006
6.6	0.033
6.8	0.071
7.0	0.124
7.2	0.200
7.4	0.33
7.6	0.53
7.8	0.74
8.0	1.06
8.2	1.44
8.4	1.78
8.6	2.30
8.8	2.70
9.0	3.08
9.2	3.56
9.4	3.98
9.6	4.20
9.8	4.61
10.0	5.03
10.2	4.95
10.4	4.80
10.6	4.75
10.8	4.60
11.0	4.50
11.2	3.95
11.4	3.55
11.6	3.01
11.8	2.57
12.0	2.08
12.2	1.60
12.4	1.19
12.6	0.83
12.8	0.57
13.0	0.34
13.2	0.179
13.4	0.085
13.6	0.041
13.8	0.025
14.0	0.033
14.2	0.056
14.4	0.079
14.6	0.103
14.8	0.114
15.0	0.123
15.2	0.119
15.4	0.107
15.6	0.090
15.8	0.070
16.0	0.049
16.2	0.029
16.4	0.014
16.6	0.005
16.8	0.002
17.0	0.004
17.2	0.009
17.4	0.015
17.6	0.021
17.8	0.027
18.0	0.032
18.2	0.033
18.4	0.032
18.6	0.027
18.8	0.023
19.0	0.018
19.2	0.012
19.4	0.006
19.6	0.003
19.8	0.001
20.0	0.001
