V	I
104.9	1.108
127.4	1.235
178.0	1.516
185.2	1.550
249.5	1.831
209.9	1.667
149.4	1.365
140.8	1.308
160.7	1.421
194.3	1.598
303.0	2.028
289.3	1.981
284.4	1.959
280.3	1.944
272.4	1.901
265.9	1.888
259.7	1.865
251.9	1.832
242.6	1.798
236.7	1.777
231.2	1.753
219.6	1.706
212.5	1.672
200.8	1.622
195.3	1.591
185.3	1.544
181.0	1.520
170.9	1.467
164.8	1.444
162.8	1.420
156.6	1.395
152.6	1.365
