SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Fri Aug 18 15:29:49 EST 2017
User: z3470068
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB2+F03475
Integration Time (usec): 1000 (USB2+F03475)
Spectra Averaged: 50 (USB2+F03475)
Boxcar Smoothing: 0 (USB2+F03475)
Correct for Electrical Dark: No (USB2+F03475)
Strobe/Lamp Enabled: No (USB2+F03475)
Correct for Detector Non-linearity: No (USB2+F03475)
Correct for Stray Light: No (USB2+F03475)
Number of Pixels in Processed Spectrum: 2048
>>>>>Begin Processed Spectral Data<<<<<
441.04	-19.21
441.42	-19.21
441.79	-19.21
442.17	-13.97
442.55	-16.54
442.93	-18.21
443.31	-24.63
443.68	-21.92
444.06	1.13
444.44	-4.47
444.82	-7.91
445.19	-15.46
445.57	-5.74
445.95	-9.99
446.33	-12.52
446.70	-24.36
447.08	-20.93
447.46	-25.90
447.84	-13.69
448.21	-12.02
448.59	-5.83
448.97	-18.67
449.35	-24.81
449.72	-20.65
450.10	-23.46
450.48	-23.41
450.85	-17.76
451.23	-11.43
451.61	-13.56
451.98	-19.89
452.36	-12.79
452.74	-29.33
453.11	-22.51
453.49	-11.75
453.87	-7.64
454.24	-12.88
454.62	-16.32
455.00	-14.01
455.37	0.00
455.75	-25.54
456.13	-15.64
456.50	-13.33
456.88	-19.21
457.26	-18.71
457.63	-22.01
458.01	-4.84
458.38	-14.46
458.76	-5.42
459.14	-16.18
459.51	-11.53
459.89	-22.78
460.26	-2.62
460.64	-14.87
461.02	-11.93
461.39	3.25
461.77	-11.48
462.14	1.08
462.52	-10.58
462.89	-14.19
463.27	-19.34
463.65	-21.02
464.02	-10.76
464.40	-18.80
464.77	-19.93
465.15	-17.31
465.52	-20.88
465.90	4.20
466.27	-6.78
466.65	-27.30
467.02	-24.63
467.40	-13.24
467.77	-7.05
468.15	-9.63
468.52	-16.72
468.90	-4.66
469.27	-0.99
469.65	-19.30
470.02	-10.94
470.40	-17.45
470.77	-15.23
471.15	-29.06
471.52	-38.64
471.90	-15.19
472.27	-21.60
472.65	-14.06
473.02	-11.12
473.39	-27.75
473.77	-46.73
474.14	-4.75
474.52	-12.02
474.89	-10.58
475.27	-13.20
475.64	-14.73
476.01	-13.15
476.39	-13.29
476.76	-11.71
477.14	-21.02
477.51	-0.36
477.88	-18.62
478.26	-26.53
478.63	-15.23
479.01	-9.76
479.38	-5.88
479.75	-17.22
480.13	-8.81
480.50	-48.00
480.87	-17.31
481.25	-33.40
481.62	-10.53
481.99	-21.06
482.37	-22.51
482.74	-17.04
483.11	-27.89
483.49	-17.99
483.86	-0.23
484.23	-14.91
484.61	-9.13
484.98	-12.97
485.35	-12.20
485.73	-26.53
486.10	-14.15
486.47	-2.08
486.84	-20.93
487.22	-13.92
487.59	-20.52
487.96	-9.67
488.34	-25.26
488.71	-10.03
489.08	-20.97
489.45	-10.53
489.83	-13.06
490.20	-11.03
490.57	-16.23
490.94	-7.01
491.32	-20.70
491.69	-17.13
492.06	-10.62
492.43	-9.81
492.81	-4.52
493.18	-18.67
493.55	-13.33
493.92	-21.29
494.29	-23.68
494.67	-13.97
495.04	-20.56
495.41	-16.18
495.78	-4.52
496.15	-18.80
496.52	-10.71
496.90	-22.87
497.27	-10.17
497.64	-17.31
498.01	-14.19
498.38	-42.21
498.75	-16.77
499.13	-17.94
499.50	-10.85
499.87	-27.93
500.24	-21.06
500.61	-23.32
500.98	-21.15
501.35	-10.62
501.73	-13.06
502.10	-16.09
502.47	-11.43
502.84	-0.23
503.21	-7.95
503.58	-15.28
503.95	-11.03
504.32	-15.32
504.69	-23.91
505.06	-12.88
505.43	-14.82
505.81	-10.12
506.18	-14.87
506.55	-10.62
506.92	-7.91
507.29	-23.37
