0.0	-0.067296	0.0271508449961
0.1	-0.06824	0.0275612481575
0.2	-0.068384	0.0270012693035
0.3	-0.0672	0.0271764604023
0.4	-0.068192	0.0276913548964
0.5	-0.065616	0.0267697692183
0.6	-0.044192	0.0264429033202
0.7	0.02552	0.028118492136
0.8	0.107232	0.0275655251356
0.9	0.201872	0.0275451559444
1.0	0.284912	0.0257657186199
1.1	0.384848	0.0279230531282
1.2	0.478672	0.0281963901236
1.3	0.575856	0.0265350195779
1.4	0.666544	0.0274586245832
1.5	0.767824	0.0279124528481
1.6	0.86592	0.0276462221651
1.7	0.957568	0.0276522218999
1.8	1.062336	0.02762576884
1.9	1.155088	0.0274261236051
2.0	1.2512	0.0271529003976
2.1	1.353664	0.0276350339967
2.2	1.447824	0.0272158965313
2.3	1.550352	0.0279377181602
2.4	1.644352	0.0280389032596
2.6	1.848064	0.0275552518406
2.7	1.943488	0.027457491801
2.8	2.048192	0.0283649631764
2.9	2.143232	0.0276975481947
3.0	2.250496	0.0279183449366
3.1	2.34352	0.0281213370948
3.2	2.450016	0.0268357922186
3.3	2.546016	0.0278791632586
3.4	2.545328	0.0282236145098
3.5	2.742096	0.0269890122828
3.6	2.843312	0.028305311445
3.7	2.943424	0.028449889701
3.8	3.036336	0.0283297565115
3.9	3.138688	0.0285579876042
4.0	3.232496	0.0291864691938
4.1	3.332048	0.0300207544209
4.2	3.424464	0.0310649755191
4.3	3.524384	0.0310454593137
4.4	3.618976	0.0310185657953
4.5	3.72008	0.0327803843785
4.6	3.810912	0.0316374502133
4.7	3.912592	0.0317313966916
4.8	4.001696	0.0309167201365
4.9	4.10184	0.0303548085153
5.0	4.200512	0.0307098983391
