('USB0::0x0699::0x0368::C013933::INSTR', 'USB0::0x0699::0x0368::C013793::INSTR', 'ASRL1::INSTR', 'ASRL3::INSTR')
5.68
5.76
5.76
5.84
5.76
5.76
5.6
5.2
5.2
5.12
5.12
5.12
5.04
4.88
4.88
4.8
4.8
4.8
4.8
4.8
5.52
5.6
5.68
5.76
5.04
5.2
5.12
5.2
5.12
5.12
4.88
4.88
4.96
4.88
4.8
4.88
5.12
5.2
5.36
5.52
5.6
5.68
5.76
5.76
5.76
5.76
5.68
5.2
5.28
5.12
5.04
5.04
5.04
4.96
4.96
4.8
4.8
4.96
5.04
5.2
5.36
5.52
5.68
5.68
5.84
5.12
5.12
5.12
5.12
5.12
5.12
5.04
5.04
5.04
5.04
4.88
4.88
4.96
5.36
5.44
5.6
5.68
5.76
5.76
5.84
5.76
5.36
5.44
5.2
5.2
5.2
5.2
5.12
4.96
4.88
4.8
4.72
4.88
5.04
5.12
5.36
5.44
5.6
5.68
5.76
5.84
5.68
5.28
5.2
5.2
5.2
5.04
5.04
4.88
4.88
4.88
4.88
4.88
4.96
5.2
5.44
5.68
5.76
5.84
5.84
5.84
5.84
5.76
5.36
5.36
5.2
4.96
4.8
4.96
4.88
4.88
4.8
4.88
4.96
5.12
5.2
5.36
5.52
5.68
5.76
5.76
5.84
5.28
5.28
5.28
5.2
5.2
5.2
5.12
5.04
4.96
4.96
5.04
5.2
5.36
5.44
5.6
5.76
5.84
5.92
5.92
5.92
5.36
5.2
5.28
5.12
5.2
5.2
5.2
5.04
5.04
4.96
4.88
4.88
4.96
5.36
5.36
5.52
5.6
5.76
5.84
5.84
5.28
5.52
5.44
5.52
5.44
5.28
5.28
5.2
5.04
5.04
5.04
5.2
5.44
5.6
5.68
5.76
5.84
5.92
5.92
5.92
6.0
5.92
5.36
5.36
5.36
5.2
5.12
5.2
5.04
5.04
4.96
4.96
4.96
4.88
5.76
5.68
5.76
5.84
5.92
5.12
5.2
5.28
5.36
5.28
5.28
4.96
5.04
5.04
5.04
4.96
5.04
5.2
5.44
5.6
5.68
5.84
5.92
5.92
5.92
5.92
5.76
5.52
5.52
5.36
5.2
5.2
5.2
5.04
5.12
5.04
4.96
5.12
5.2
5.36
5.6
5.68
5.84
5.92
6.0
5.36
5.2
5.28
5.2
5.28
5.36
5.28
5.2
5.12
5.04
5.04
5.04
5.44
5.52
5.68
5.76
5.92
5.92
6.0
6.0
5.6
5.76
5.28
5.36
5.36
5.36
5.2
5.12
5.04
4.96
4.96
5.04
5.2
5.36
5.52
5.68
5.84
5.84
5.92
6.0
5.36
5.44
5.36
5.28
5.28
5.12
5.12
5.04
5.04
5.04
5.04
5.04
5.2
5.44
5.76
5.92
5.92
6.0
6.0
6.0
5.28
5.44
5.44
5.28
5.04
5.04
5.04
4.96
4.96
4.96
4.96
5.04
5.28
5.36
5.6
5.68
5.76
5.92
5.92
5.44
5.36
5.36
5.28
5.36
5.44
5.28
5.2
5.04
5.04
5.12
5.2
5.36
5.6
5.68
5.84
5.84
5.92
6.0
6.0
5.6
5.68
5.2
5.2
5.2
5.12
5.28
5.12
5.04
5.04
4.96
