Time	UI (ID 01) / Voltage U	UI (ID 01) / Current I	UI (ID 02) / Voltage U	UI (ID 02) / Current I
t/s	U/V	I/A	U/V	I/A

0.52	-0.0300210200	-0.001	0.0000000000	-0.004
0.53	-0.0300210200	-0.001	-0.0149700600	-0.001
0.54	-0.0300210200	0.002	0.0000000000	0.002
0.54	-0.0150105100	-0.001	0.0000000000	-0.001
0.55	-0.0150105100	-0.001	0.0149700600	-0.001
0.55	-0.0150105100	-0.001	0.0149700600	0.002
0.56	0.0000000000	-0.001	0.0449101800	-0.001
0.56	-0.0150105100	-0.001	0.0149700600	-0.001
0.56	-0.0150105100	0.002	0.0149700600	-0.004
0.57	0.0000000000	-0.001	0.0149700600	-0.004
0.57	-0.0150105100	-0.001	0.0149700600	-0.004
0.58	0.0000000000	-0.001	0.0299401200	-0.004
0.58	0.0000000000	-0.001	0.0299401200	-0.001
0.59	0.0000000000	-0.001	0.0299401200	-0.001
0.60	0.0150105100	-0.001	0.0299401200	-0.001
0.60	0.0000000000	-0.001	0.0299401200	-0.001
0.61	0.0150105100	0.002	0.0449101800	0.002
0.61	0.0150105100	-0.001	0.0449101800	-0.001
0.62	0.0150105100	-0.001	0.0449101800	-0.001
0.62	0.0150105100	0.002	0.0449101800	-0.001
0.63	0.0150105100	0.002	0.0449101800	-0.004
0.63	0.0150105100	-0.001	0.0449101800	-0.004
0.63	0.0150105100	0.002	0.0449101800	-0.004
0.64	0.0300210200	0.002	0.0449101800	-0.001
0.64	0.0150105100	-0.001	0.0449101800	-0.001
0.65	0.0300210200	0.002	0.0598802400	-0.001
0.65	0.0450315300	-0.001	0.0598802400	-0.001
0.66	0.0450315300	-0.001	0.0598802400	0.002
0.67	0.0450315300	-0.001	0.0598802400	-0.001
0.67	0.0450315300	-0.001	0.0598802400	-0.001
0.68	0.0450315300	-0.004	0.0748503000	-0.001
0.68	0.0450315300	-0.001	0.0598802400	-0.001
0.69	0.0450315300	0.002	0.0598802400	-0.004
0.69	0.0450315300	-0.001	0.0598802400	-0.004
0.69	0.0450315300	-0.001	0.0598802400	-0.004
0.70	0.0600420300	-0.001	0.0598802400	-0.001
0.70	0.0600420300	-0.001	0.0748503000	-0.001
0.71	0.0600420300	-0.001	0.0748503000	-0.001
0.71	0.0600420300	0.002	0.0748503000	-0.001
0.72	0.0600420300	-0.001	0.0748503000	-0.001
0.73	0.0600420300	-0.001	0.0748503000	-0.001
0.73	0.0750525400	0.002	0.0898203600	-0.001
0.74	0.0600420300	-0.001	0.0748503000	-0.004
0.74	0.0750525400	-0.001	0.0748503000	-0.004
0.75	0.0600420300	-0.001	0.0748503000	-0.007
0.75	0.0900630500	-0.001	0.0748503000	-0.004
0.75	0.0750525400	-0.001	0.0898203600	0.002
0.76	0.0750525400	-0.001	0.0748503000	-0.001
0.76	0.0900630500	0.002	0.0898203600	-0.001
0.77	0.0900630500	-0.001	0.0898203600	-0.001
0.77	0.0900630500	-0.001	0.0898203600	-0.001
