NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
257.306251	7.873441	274.498050	9.930841
257.365293	7.873441	274.561095	9.890747
257.419330	7.866743	274.617135	9.890747
257.483374	7.866743	274.671174	9.876791
257.526403	7.862793	274.730217	9.876791
257.585446	7.862793	274.789258	9.876791
257.647489	7.862793	274.844299	9.883194
257.702526	7.848415	274.914349	9.883194
257.762568	7.848415	274.987403	9.854598
257.818606	7.848870	275.066462	9.854598
257.869642	7.848870	275.124503	9.828850
257.919679	7.855253	275.197556	9.828850
257.984725	7.855253	275.265605	9.909017
258.039760	7.855253	275.331652	9.909017
258.095800	7.853401	275.393696	9.900312
258.149836	7.853401	275.457742	9.900312
258.212884	7.826334	275.513783	9.875665
258.273922	7.826334	275.589839	9.875665
258.327960	7.855895	275.647876	9.854650
258.381999	7.855895	275.705919	9.854650
258.439039	7.855895	275.756955	9.745687
258.494076	7.836535	275.823003	9.745687
258.552119	7.836535	275.881062	9.073932
258.614162	7.858030	275.945094	9.073932
258.672201	7.858030	276.013141	9.073932
258.728240	7.858165	276.077188	7.559385
258.793287	7.858165	276.129224	7.559385
258.853324	7.858165	276.191284	7.558928
258.917370	7.847596	276.254313	7.558928
258.981413	7.847596	276.329389	7.531595
259.051464	7.857488	276.399420	7.531595
259.102500	7.857488	276.466467	7.556068
259.159537	7.863090	276.535518	7.556068
259.218595	7.863090	276.602566	7.524117
259.280621	7.879255	276.663610	7.524117
259.334659	7.879255	276.735659	7.553203
259.389713	7.879733	276.797705	7.553203
259.460746	7.879733	276.856747	7.563656
259.532796	7.874356	276.927798	7.563656
259.598843	7.874356	276.982839	7.708085
259.660885	7.874356	277.052890	7.708085
259.721932	7.887022	277.122952	7.813761
259.784976	7.874714	277.185986	7.813761
259.846016	7.874714	277.260036	7.920833
259.896049	7.874714	277.323085	7.920833
259.952086	7.908561	277.398135	8.054223
260.004123	7.908561	277.452177	8.054223
260.066166	7.898138	277.511234	8.178930
260.125207	7.898138	277.578268	8.178930
260.184248	7.908098	277.643314	8.289483
260.247293	7.908098	277.708361	8.289483
260.307351	7.908098	277.775409	8.413612
260.366375	7.915123	277.838470	8.413612
260.425415	7.915123	277.921512	8.542003
260.490460	7.923942	277.971549	8.542003
260.550502	7.923942	278.050605	8.684939
260.608542	7.943207	278.103643	8.684939
260.675589	7.943207	278.165692	8.815188
260.726624	7.954691	278.228735	8.815188
260.789668	7.954691	278.279773	8.946102
260.841722	7.947778	278.347821	8.946102
260.913754	7.947778	278.413868	8.946102
260.971795	7.947778	278.477914	9.077011
261.030837	7.945257	278.533970	9.077011
261.083875	7.945257	278.599002	9.187630
261.147921	7.944817	278.664063	9.187630
261.206959	7.944817	278.730096	9.324263
261.259010	7.971126	278.795140	9.324263
261.326040	7.971126	278.872197	9.463585
261.383080	7.973488	278.931239	9.463585
261.445123	7.973488	279.006313	9.555048
261.507168	7.973488	279.075345	9.555048
261.577218	7.947755	279.149395	9.655893
261.630252	7.947755	279.210439	9.795385
261.676292	7.966183	279.276487	9.795385
261.732324	7.966183	279.336530	9.795385
261.797370	7.948848	279.394572	9.825991
261.875421	7.948848	279.450612	9.825991
261.941467	7.957935	279.526668	9.884827
262.011517	7.957935	279.587715	9.884827
262.059549	7.920659	279.663766	9.934809
262.112586	7.920659	279.734818	9.934809
262.182634	7.920659	279.790856	9.900081
262.249681	7.867792	279.847897	9.900081
262.309725	7.867792	279.901937	9.965929
262.371766	7.870426	279.967984	9.965929
262.423801	7.870426	280.039034	9.979262
262.474837	7.869541	280.096097	9.979262
262.558896	7.869541	280.173132	9.942515
262.631946	7.857807	280.237178	9.942515
262.684983	7.857807	280.297221	9.920144
262.751029	7.849870	280.368271	9.920144
262.809070	7.849870	280.421310	9.900950
262.860106	7.828204	280.478352	9.900950
262.914159	7.828204	280.535393	9.874345
262.970181	7.821243	280.614450	9.874345
263.036232	7.821243	280.680499	9.874345
263.107279	7.821243	280.740557	9.865930
263.162314	7.844787	280.798582	9.865930
263.226358	7.844787	280.865630	9.850282
263.283398	7.851493	280.923671	9.850282
263.341439	7.851493	280.988719	9.787299
263.392474	7.831118	281.041773	9.787299
263.460523	7.831118	281.093796	9.711185
263.526567	7.832948	281.160842	9.711185
263.588613	7.832948	281.219884	7.547177
263.648652	7.817242	281.279928	7.547177
263.712696	7.817242	281.329966	7.545168
263.783747	7.817242	281.408020	7.545168
263.845793	7.838344	281.465061	7.545168
263.899826	7.838344	281.523102	7.706593
263.954864	7.850714	281.574139	7.706593
264.009902	7.850714	281.628181	7.824833
264.058936	7.857186	281.693226	7.824833
264.119980	7.857186	281.749267	7.929964
264.177021	7.845986	281.808308	7.929964
264.229057	7.845986	281.871356	7.974297
264.280093	7.845986	281.924394	7.974297
264.334131	7.844625	282.004451	7.974297
264.402177	7.844625	282.057489	8.040416
264.461217	7.851795	282.121532	8.040416
264.520256	7.851795	282.180575	8.196814
264.588307	7.851795	282.242636	8.196814
264.660355	7.870466	282.287668	8.310902
264.719394	7.877853	282.347698	8.310902
264.799468	7.877853	282.399735	8.350632
264.848501	7.880002	282.460779	8.350632
264.907526	7.880002	282.522824	8.350632
264.960562	7.880002	282.591873	8.458387
265.014599	7.887816	282.653918	8.458387
265.073641	7.887816	282.735977	8.559612
265.132683	7.892013	282.807026	8.559612
265.204731	7.892013	282.860066	8.596848
265.260770	7.891930	282.924112	8.596848
265.324817	7.891930	283.003167	8.640700
265.382854	7.918807	283.046198	8.676391
265.431889	7.918807	283.090230	8.676391
265.492931	7.918807	283.145269	8.676391
265.549989	7.907165	283.200312	8.696996
265.626026	7.907165	283.269358	8.696996
265.701077	7.912202	283.335406	8.696996
265.760117	7.912202	283.404459	8.742895
265.825161	7.923553	283.473516	8.742895
265.883202	7.923553	283.532547	8.780480
265.939244	7.950877	283.603599	8.780480
265.998281	7.950877	283.652636	8.798088
266.050318	7.934615	283.700671	8.798088
266.104356	7.934615	283.759711	8.853477
266.157395	7.934615	283.813750	8.853477
266.213431	7.931588	283.863787	8.858878
266.280478	7.931588	283.921830	8.858878
266.344523	7.931143	284.000885	8.858878
266.411570	7.931143	284.052925	8.912844
266.480616	7.928997	284.105963	8.912844
266.539659	7.928997	284.163004	8.958474
266.587693	7.961924	284.225046	8.958474
266.647735	7.961924	284.273080	8.948922
266.711776	7.960792	284.335126	8.948922
266.768816	7.960792	284.407177	8.948922
266.820852	7.960792	284.469224	9.001335
266.874889	7.951970	284.530269	9.001335
266.936933	7.951970	284.591310	9.047325
266.991972	7.946816	284.644347	9.047325
267.052012	7.946816	284.699387	9.063950
267.104049	7.915803	284.765434	9.063950
267.159090	7.915803	284.821475	9.113452
267.219130	7.915803	284.884521	9.113452
267.273168	7.861427	284.944563	9.162034
267.345216	7.861427	285.011611	9.162034
267.403258	7.848552	285.066651	9.150369
267.477325	7.848552	285.118689	9.150369
267.530362	7.846070	285.190741	9.150369
267.593405	7.846070	285.249786	9.205903
267.653447	7.833877	285.309844	9.205903
267.714476	7.833877	285.371891	9.225105
267.769514	7.833877	285.436918	9.225105
267.836557	7.825617	285.495964	9.208175
267.895598	7.825617	285.556020	9.208175
267.949636	7.825068	285.609044	9.208729
268.005674	7.825068	285.663080	9.208729
268.055709	7.821140	285.717122	9.208729
268.112749	7.821140	285.767158	9.217951
268.166786	7.826477	285.842212	9.217951
268.220823	7.826477	285.919265	9.196431
268.279866	7.826477	285.991319	9.196431
268.345911	7.830434	286.044373	9.219608
268.398948	7.830434	286.110403	9.219608
268.457988	7.813886	286.190461	9.193390
268.517029	7.813886	286.249519	9.193390
268.577073	7.846539	286.307544	9.119572
268.626109	7.846539	286.366589	9.119572
268.680145	7.846539	286.442641	9.038310
268.736185	7.833102	286.504686	9.038310
268.809249	7.833102	286.566730	8.337259
268.860267	7.851704	286.624773	8.337259
268.933335	7.851704	286.680812	8.336266
268.980350	7.822741	286.738853	8.336266
269.039392	7.822741	286.792893	8.312424
269.091428	7.837356	286.872951	8.312424
269.140461	7.837356	286.934998	8.312424
269.193499	7.837356	286.996039	8.313590
269.248539	7.852062	287.050095	8.313590
269.303577	7.852062	287.120131	8.346957
269.363619	7.852062	287.183177	8.346957
269.418658	7.861239	287.249222	8.324360
269.478696	7.861239	287.307265	8.324360
269.525732	7.843750	287.357301	8.341258
269.585788	7.843750	287.415358	8.341258
269.637806	7.854370	287.469382	8.385491
269.698849	7.854370	287.537429	8.385491
269.762893	7.854370	287.604480	8.385491
269.817951	7.862246	287.664523	8.396308
269.878974	7.862246	287.732569	8.396308
269.944019	7.871505	287.804620	8.423325
270.021073	7.871505	287.866666	8.423325
270.072108	7.880203	287.931713	8.484727
270.147160	7.880203	287.999764	8.510066
270.198198	7.890427	288.060808	8.510066
270.258257	7.890427	288.121850	8.510066
270.322281	7.878810	288.176891	8.550855
270.382323	7.878810	288.241935	8.550855
270.439363	7.878810	288.302979	8.586295
270.508410	7.900848	288.366024	8.586295
270.560447	7.900848	288.419063	8.600392
270.609481	7.916753	288.481108	8.600392
270.667521	7.916753	288.544155	8.651704
270.718556	7.919533	288.614202	8.651704
270.768592	7.919533	288.680251	8.693850
270.822644	7.925658	288.743296	8.693850
270.874665	7.925658	288.799335	8.720945
270.952719	7.925658	288.858378	8.720945
271.006758	7.910519	288.910416	8.720945
271.056791	7.910519	288.967458	8.752325
271.107842	7.915287	289.023514	8.752325
271.170872	7.915287	289.086563	8.801300
271.227910	7.946083	289.150608	8.801300
271.282948	7.946083	289.211635	8.844381
271.345992	7.946083	289.268676	8.844381
271.397028	7.931864	289.318710	8.871738
271.452066	7.931864	289.372749	8.871738
271.507105	7.938218	289.432791	8.871738
271.572152	7.938218	289.477824	8.875846
271.625187	7.915076	289.545873	8.875846
271.684229	7.915076	289.594908	8.949023
271.754275	7.915076	289.651952	8.949023
271.812317	7.924763	289.702987	8.949023
271.871356	7.924763	289.753022	8.976968
271.917406	7.949117	289.819069	8.976968
271.985435	7.949117	289.877112	8.976311
272.039474	7.943574	289.943162	8.976311
272.100516	7.943574	290.000216	9.053976
272.157556	7.943574	290.059262	9.053976
272.234610	7.936473	290.128295	9.053976
272.297656	7.936473	290.181330	9.081965
272.351693	7.849339	290.243390	9.081965
272.402729	7.849339	290.304419	9.083821
272.455761	7.842467	290.372468	9.083821
272.512805	7.842467	290.434513	9.133677
272.564841	7.850519	290.499559	9.133677
272.620893	7.850519	290.560604	9.171059
272.681923	7.850519	290.616643	9.171059
272.748969	7.835276	290.664677	9.167298
272.793998	7.835276	290.722719	9.167298
272.842033	7.831142	290.781764	9.167298
272.899073	7.831142	290.857819	9.180550
272.949121	7.812680	290.912857	9.180550
273.006144	7.812680	290.959907	9.201545
273.063185	7.812680	291.020934	9.201545
273.129230	7.807903	291.076975	9.182399
273.185273	7.807903	291.148028	9.182399
273.240310	7.818240	291.201066	9.190767
273.295348	7.818240	291.264109	9.190767
273.350386	7.818240	291.318148	9.190767
273.414430	7.810268	291.376189	9.181962
273.470469	7.810268	291.434232	9.181962
273.515501	7.818423	291.492276	9.122920
273.575542	7.818423	291.559338	9.122920
273.630580	7.808796	291.613362	9.068061
273.683614	7.808796	291.676425	9.068061
273.747658	7.808796	291.739453	9.068061
273.793691	7.812434	291.799498	9.005854
273.845728	7.812434	291.852535	8.673872
273.894760	7.837658	291.906573	8.673872
273.952818	7.837658	291.956609	8.673872
274.008855	7.837658	292.019655	8.486653
274.064878	7.811608	292.075695	8.486653
274.124924	7.811608	292.125729	8.519282
274.178961	7.825583	292.189778	8.519282
274.230996	7.825583	292.249820	8.519282
274.300044	7.825583	292.321872	8.609227
274.358084	7.839060	292.374909	8.722070
274.417122	7.839060	292.442960	8.722070
274.472160	7.830831	292.509021	8.722070
274.546213	7.830831	292.563045	8.722070
274.585242	7.855809	292.634096	8.891457
274.643283	7.855809	292.684133	8.994182
274.701322	7.847772	292.743173	8.994182
274.761364	7.847772	292.798212	9.047162
274.829411	7.847772	292.849249	9.047162
274.901462	7.851560	292.924303	9.047162
274.960500	7.849290	292.978342	9.045091
275.015554	7.849290	293.039386	9.045091
275.068574	7.849290	293.095426	9.069017
275.119610	7.865704	293.154469	9.069017
275.180653	7.865704	293.206506	9.062763
275.243713	7.865704	293.260547	9.062763
275.293732	7.874955	293.326592	9.062763
275.346767	7.874955	293.396644	9.002177
275.399805	7.880636	293.455687	9.002177
275.459846	7.880636	293.517732	8.971657
275.509881	7.891269	293.588783	8.971657
275.568923	7.891269	293.671860	8.919980
275.622963	7.891269	293.735887	8.919980
275.686003	7.894097	293.793931	8.829037
275.742043	7.894097	293.864983	8.829037
275.821099	7.886135	293.920022	8.772544
275.882143	7.886135	293.981081	8.772544
275.940185	7.920610	294.045111	8.725825
276.025238	7.920610	294.099151	8.725825
276.081278	7.912746	294.155188	8.655667
276.137316	7.912746	294.213231	8.655667
276.200364	7.919499	294.284282	8.574261
276.271414	7.919499	294.348329	8.574261
276.335453	7.911657	294.418395	8.523365
276.391493	7.911657	294.485426	8.523365
276.452536	7.929287	294.545469	8.523365
276.516581	7.929287	294.603511	8.463992
276.568615	7.923347	294.662570	8.463992
276.623654	7.923347	294.727619	8.407653
276.692701	7.923347	294.792647	8.407653
276.755748	7.926010	294.875707	8.323539
276.810783	7.926010	294.934749	8.323539
276.869824	7.911727	294.998796	8.282849
276.924863	7.911727	295.065847	8.282849
276.984904	7.918661	295.142903	8.220552
277.041946	7.918661	295.204943	8.220552
277.101988	7.942089	295.267989	8.184842
277.175037	7.942089	295.327031	8.184842
277.245085	7.942089	295.381070	8.176942
277.309130	7.933601	295.448118	8.176942
277.373174	7.933601	295.509162	8.156535
277.429213	7.899080	295.571207	8.156535
277.471242	7.899080	295.625246	8.198265
277.523280	7.824610	295.696317	8.198265
277.578332	7.824610	295.768349	8.215255
277.625348	7.816286	295.833396	8.215255
277.676390	7.816286	295.888435	8.215255
277.732422	7.816286	295.957485	8.265863
277.784474	7.826931	296.011524	8.274000
277.840498	7.826931	296.074569	8.274000
277.888531	7.814420	296.135614	8.274000
277.943588	7.814420	296.198659	8.320849
278.003611	7.814420	296.264710	8.320849
278.065656	7.803918	296.328754	8.322934
278.117693	7.803918	296.396803	8.322934
278.175733	7.789702	296.449839	8.353294
278.232772	7.789702	296.506879	8.353294
278.288810	7.789702	296.578932	8.381535
278.337842	7.793330	296.643978	8.381535
278.389879	7.793330	296.709025	8.371212
278.439913	7.787525	296.776073	8.371212
278.495952	7.787525	296.833115	8.366958
278.550991	7.787525	296.891157	8.366958
278.607030	7.820825	296.943194	8.380060
278.667071	7.820825	296.995232	8.380060
278.722111	7.800621	297.055291	8.315901
278.776147	7.800621	297.118320	8.315901
278.835187	7.789491	297.181367	8.315901
278.898233	7.789491	297.238409	8.218284
278.957273	7.789491	297.306455	8.218284
279.010309	7.816751	297.360494	9.075730
279.062346	7.816751	297.419536	9.075730
279.116400	7.812728	297.482583	9.098011
279.176425	7.812728	297.549648	9.098011
279.235466	7.815046	297.621682	9.119092
279.295508	7.815046	297.677741	9.119092
279.345545	7.812958	297.741770	9.119092
279.409587	7.812958	297.824831	9.113384
279.483642	7.812958	297.877866	9.148941
279.546686	7.819944	297.940928	9.148941
279.608728	7.819944	297.999970	9.166182
279.663763	7.819947	298.063017	9.166182
279.719803	7.819947	298.119041	9.137034
279.775843	7.846639	298.179085	9.137034
279.837886	7.846639	298.237126	9.137034
279.892921	7.846639	298.304175	9.159787
279.946960	7.853179	298.353209	9.159787
280.006000	7.853179	298.419255	9.126299
280.063042	7.844473	298.474296	9.126299
280.128101	7.844473	298.549349	9.060233
280.180120	7.855683	298.629407	9.060233
280.257174	7.855683	298.678442	9.047054
280.310229	7.855347	298.739486	9.047054
280.372254	7.855347	298.803535	8.995356
280.432298	7.878418	298.869579	8.995356
280.496342	7.878418	298.932624	8.922522
280.559384	7.878418	298.996671	8.922522
280.624429	7.874907	299.064720	8.922522
280.698481	7.874907	299.119759	8.887639
280.755538	7.869765	299.192811	8.887639
280.816566	7.869765	299.254857	8.829192
280.874608	7.867657	299.320905	8.829192
280.950660	7.867657	299.380947	8.741941
281.015706	7.882638	299.432986	8.741941
281.083748	7.882638	299.485022	8.699940
281.154797	7.892588	299.547070	8.699940
281.210836	7.892588	299.606112	8.626223
281.263875	7.899699	299.676163	8.626223
281.328918	7.899699	299.732200	8.581399
281.380954	7.890163	299.795263	8.581399
281.448001	7.890163	299.856289	8.581399
281.508044	7.890163	299.915333	8.500005
281.563085	7.899761	299.979381	8.500005
281.620122	7.899761	300.043441	8.444214
281.678164	7.928058	300.101467	8.444214
281.740206	7.928058	300.158508	8.376958
281.791241	7.917072	300.224556	8.376958
281.857287	7.917072	300.290603	8.300910
281.918330	7.921837	300.351648	8.300910
281.978374	7.921837	300.411688	8.269607
282.035411	7.916933	300.480738	8.269607
282.096451	7.916933	300.538780	8.229515
282.155492	7.916933	300.599827	8.229515
282.213532	7.907057	300.659869	8.155675
282.284581	7.907057	300.719913	8.155675
282.345627	7.895983	300.789964	8.155675
282.407667	7.895983	300.849005	8.163754
282.467710	7.921094	300.916051	8.163754
282.532753	7.921094	300.971093	8.167798
282.584789	7.841331	301.047149	8.167798
282.645833	7.841331	301.102203	8.035602
282.698869	7.817613	301.163246	8.035602
282.758910	7.817613	301.220270	7.893643
282.825958	7.817613	301.282315	7.893643
282.882998	7.801708	301.333351	7.613725
282.935032	7.801708	301.390392	7.613725
282.987068	7.814644	301.441430	7.613725
283.044108	7.814644	301.494470	7.560530
283.099148	7.804323	301.552525	7.560530
283.160193	7.804323	301.606568	7.561922
283.235246	7.804323	301.686605	7.561922
283.293285	7.800794	301.743646	7.581830
283.349320	7.800794	301.811696	7.581830
283.403361	7.798755	301.870739	7.563408
283.482412	7.798755	301.928798	7.563408
283.543455	7.774998	301.996831	7.622404
283.614504	7.774998	302.063879	7.622404
283.676549	7.791885	302.132927	7.622404
283.742592	7.791885	302.184964	7.634432
283.824649	7.806477	302.239002	7.634432
283.904705	7.806477	302.291042	7.619757
283.957743	7.784413	302.349099	7.619757
284.017786	7.784413	302.401122	7.629654
284.078826	7.801570	302.472171	7.629654
284.136868	7.801570	302.521207	7.591297
284.208917	7.782513	302.587253	7.591297
284.284969	7.782513	302.653304	7.591297
284.367025	7.796441	302.721350	7.456317
284.419062	7.796441	302.771386	7.456317
284.477102	7.804416	302.821422	9.725991
284.544148	7.804416	302.885468	9.725991
284.598204	7.815813	302.937505	9.742859
284.658228	7.815813	302.988543	9.742859
284.713269	7.820583	303.051588	9.791063
284.770323	7.820583	303.118635	9.791063
284.825344	7.807448	303.173675	9.791063
284.882383	7.807448	303.241724	9.784751
284.937423	7.807448	303.311775	9.784751
284.994461	7.821687	303.384828	9.773167
285.074517	7.821687	303.441871	9.773167
285.134559	7.824280	303.512919	9.859947
285.201623	7.824280	303.568960	9.859947
285.258644	7.842640	303.622998	9.817790
285.323690	7.842640	303.679038	9.817790
285.385733	7.837820	303.731076	9.795358
285.445774	7.837820	303.788116	9.795358
285.497811	7.844594	303.850162	9.795358
285.562857	7.844594	303.904218	9.729507
285.620895	7.844594	303.969248	9.729507
285.691945	7.848735	304.039300	9.589488
285.754007	7.848735	304.108348	9.589488
285.814031	7.866744	304.173394	9.489012
285.867066	7.866744	304.228451	9.489012
285.917102	7.875456	304.283476	9.377398
285.976143	7.875456	304.343517	9.377398
286.033184	7.872333	304.399557	9.239628
286.087237	7.872333	304.461603	9.239628
286.150263	7.872333	304.528654	9.102571
286.221312	7.867599	304.589695	9.102571
286.281356	7.867599	304.654743	9.102571
286.337393	7.881535	304.736799	8.976535
286.407441	7.881535	304.788837	8.812746
286.457478	7.900139	304.842876	8.812746
286.520522	7.900139	304.893912	8.812746
286.574557	7.899916	304.940946	8.664835
286.650610	7.899916	305.020006	8.664835
286.703647	7.907348	305.070039	8.520032
286.766690	7.907348	305.126080	8.520032
286.813725	7.886831	305.188127	8.366903
286.872766	7.886831	305.243163	8.366903
286.931809	7.886831	305.311213	8.366903
286.982842	7.910195	305.365252	8.203527
287.036880	7.910195	305.426296	8.203527
287.094937	7.921760	305.480337	8.059705
287.159966	7.921760	305.536376	8.059705
287.222006	7.921760	305.593417	8.059705
287.277045	7.913268	305.662466	7.918284
287.336085	7.913268	305.739539	7.918284
287.394127	7.892040	305.799566	7.791054
287.452168	7.892040	305.860610	7.791054
287.504203	7.894308	305.920650	7.631978
287.561245	7.894308	305.974690	7.631978
287.615283	7.894308	306.022727	7.520098
287.668319	7.907942	306.087789	7.520098
287.717352	7.907942	306.137824	7.421111
287.770387	7.823094	306.212862	7.421111
287.830431	7.823094	306.296922	7.421111
287.891471	7.816788	306.381983	7.322126
287.957517	7.816788	306.449035	7.356070
288.032569	7.816788	306.521084	7.356070
288.109623	7.801626	306.596140	7.351603
288.167663	7.785105	306.653181	7.351603
288.224702	7.785105	306.715225	7.339611
288.274737	7.785105	306.774268	7.339611
288.323771	7.786293	306.833817	7.408740
288.394820	7.786293	306.891778	7.408740
288.455862	7.790973	306.952820	7.453546
288.522909	7.790973	307.028875	7.453546
288.577948	7.769197	307.084917	7.470956
288.633986	7.769197	307.150981	7.470956
288.683020	7.778717	307.224015	7.470956
288.741063	7.778717	307.289065	7.526894
288.805123	7.778717	307.352111	7.553306
288.858145	7.782875	307.413152	7.553306
288.918185	7.782875	307.471193	7.564002
288.976240	7.778496	307.524231	7.564002
289.034264	7.778496	307.593285	7.564002
289.094305	7.797363	307.656329	7.623365
289.152346	7.797363	307.721376	7.623365
289.210386	7.797363	307.789441	7.633243
289.262425	7.785005	307.869480	7.633243
289.335473	7.785005	307.927522	7.606018
289.393513	7.803151	307.984563	7.606018
289.445550	7.803151	308.046607	7.572465
289.498586	7.786004	308.106650	7.572465
289.553625	7.786004	308.164711	7.501765
289.618669	7.786004	308.248755	7.501765
289.677727	7.796781	308.310800	7.040725
289.743756	7.796781	308.362836	7.040725
289.799796	7.822523	308.422881	9.746210
289.858837	7.822523	308.487943	9.746210
289.909888	7.798326	308.543967	9.764046
289.964909	7.798326	308.620020	9.764046
290.017946	7.799486	308.712086	9.786657
290.075987	7.799486	308.775132	9.786657
290.132026	7.799486	308.836175	9.747685
290.193069	7.823659	308.907227	9.747685
290.257113	7.823659	308.956263	9.821179
290.320157	7.812414	309.008298	9.821179
290.385203	7.812414	309.059335	9.841482
290.442260	7.821180	309.105369	9.841482
290.500282	7.821180	309.160408	9.841482
290.560323	7.821180	309.209444	9.820122
290.630374	7.825938	309.283498	9.820122
290.693415	7.831246	309.337535	9.737008
290.760462	7.831246	309.405585	9.737008
290.814499	7.831246	309.462626	9.737008
290.875542	7.832039	309.520668	9.639625
290.930583	7.832039	309.572705	9.639625
290.979613	7.848429	309.630749	9.526563
291.032650	7.848429	309.701798	9.526563
291.093694	7.864746	309.776855	9.401105
291.145731	7.864746	309.846905	9.401105
291.199769	7.864746	309.925960	9.305982
291.253807	7.843168	309.978000	9.305982
291.326858	7.843168	310.029036	9.138260
291.379895	7.856641	310.093081	9.138260
291.440933	7.856641	310.159128	9.002235
291.500975	7.879218	310.230178	9.002235
291.563020	7.879218	310.284217	8.867728
291.624061	7.879218	310.347262	8.867728
291.696111	7.882504	310.401301	8.722015
291.761160	7.882504	310.460344	8.722015
291.831208	7.889756	310.527395	8.408575
291.892247	7.889756	310.586436	8.408575
291.948287	7.880205	310.644479	8.393698
292.013331	7.880205	310.708525	8.393698
292.070373	7.884778	310.769567	8.393698
292.126412	7.884778	310.826607	8.128150
292.182451	7.889197	310.896657	8.128150
292.254500	7.889197	310.956700	7.951512
292.318542	7.892582	311.011739	7.951512
292.381587	7.892582	311.062777	7.723500
292.441629	7.892582	311.120819	7.723500
292.496669	7.905467	311.184865	7.723500
292.558727	7.905467	311.263925	7.532003
292.630759	7.890708	311.332971	7.532003
292.688799	7.890708	311.386012	7.303690
292.748841	7.876216	311.439047	7.303690
292.803879	7.876216	311.497089	7.058119
292.857934	7.884182	311.558133	7.058119
292.917962	7.884182	311.608169	6.884337
292.971996	7.803833	311.673216	6.884337
293.030037	7.803833	311.727254	6.723525
293.080073	7.793645	311.783295	6.723525
293.134111	7.793645	311.834332	6.723525
293.196153	7.793645	311.911387	6.657061
293.261197	7.781779	311.986442	6.657061
293.323239	7.781779	312.045484	6.639726
293.391288	7.795331	312.117536	6.639726
293.462338	7.795331	312.179580	6.637217
293.526381	7.774868	312.228615	6.719658
293.581420	7.774868	312.274649	6.719658
293.639462	7.769869	312.335692	6.719658
293.700503	7.769869	312.399739	6.714147
293.761561	7.769869	312.481797	6.714147
293.824592	7.770185	312.555851	6.767260
293.896637	7.770185	312.624901	6.767260
293.954678	7.760450	312.685944	6.789737
294.008715	7.760450	312.745988	6.789737
294.072762	7.763102	312.799044	6.851176
294.128800	7.763102	312.870077	6.851176
294.178833	7.773925	312.941128	6.851176
294.246898	7.773925	313.010177	6.890574
294.295915	7.775992	313.059213	6.948948
294.358974	7.775992	313.125279	6.948948
294.405991	7.775992	313.188308	6.948948
294.459028	7.774560	313.253352	6.971591
294.520073	7.774560	313.309394	6.971591
294.577112	7.788030	313.390456	6.949176
294.636168	7.788030	313.451498	6.949176
294.692189	7.780463	313.518546	6.933348
294.752231	7.780463	313.590595	6.933348
294.827283	7.780463	313.641631	6.892342
294.889327	7.766135	313.708680	6.892342
294.954390	7.766135	313.765721	6.794750
295.016418	7.795759	313.827765	6.794750
295.083461	7.795759	313.875800	10.324676
295.148507	7.788320	313.944850	10.324676
295.213557	7.788320	314.005893	10.355915
295.291611	7.783298	314.076945	10.355915
295.356657	7.783298	314.135987	10.355915
295.431703	7.788330	314.225054	10.396602
295.489744	7.788330	314.278092	10.421476
295.561800	7.799150	314.345157	10.421476
295.641851	7.799150	314.408183	10.430829
295.708899	7.810135	314.467244	10.430829
295.780945	7.810135	314.528269	10.467502
295.850993	7.822839	314.591317	10.467502
295.913038	7.822839	314.650358	10.467502
295.970081	7.809593	314.710402	10.425061
296.033123	7.809593	314.769446	10.425061
296.107171	7.834562	314.835490	10.286983
296.165212	7.834562	314.884526	10.286983
296.232259	7.810289	314.939565	10.157596
296.300306	7.810289	315.009615	10.157596
296.363349	7.839044	315.062655	9.990317
296.445405	7.839044	315.115694	9.990317
296.505447	7.854483	315.171732	9.990317
296.560485	7.854483	315.231778	9.809177
296.629537	7.843280	315.296824	9.809177
296.687576	7.843280	315.358869	9.635438
296.759627	7.843437	315.419911	9.635438
296.817667	7.843437	315.464942	9.458858
296.883710	7.874339	315.520984	9.458858
296.949755	7.874339	315.574021	9.243126
297.005796	7.860081	315.627059	9.243126
297.066837	7.860081	315.687102	9.243126
297.138887	7.876584	315.747146	9.042281
297.214940	7.876584	315.801184	9.042281
297.287994	7.863789	315.853222	8.810982
297.350033	7.863789	315.919270	8.810982
297.412076	7.879582	315.987319	8.810982
297.462112	7.879582	316.040360	8.597734
297.517166	7.877925	316.105406	8.597734
297.572204	7.877925	316.165449	8.375819
297.622222	7.893156	316.232497	8.375819
297.687271	7.893156	316.284535	8.144243
297.767323	7.893156	316.346578	8.144243
297.828368	7.885594	316.423634	7.932410
297.896415	7.885594	316.479673	7.932410
297.956474	7.871783	316.534712	7.707828
298.013494	7.871783	316.609766	7.707828
298.073535	7.856945	316.657802	7.478066
298.136579	7.856945	316.720846	7.478066
298.195621	7.831607	316.785896	7.478066
298.252660	7.831607	316.841933	7.290900
298.308698	7.800371	316.906981	7.290900
298.362736	7.800371	316.978032	7.091630
298.416773	7.808918	317.038077	7.091630
298.485822	7.808918	317.102139	6.902901
298.557872	7.808918	317.169172	6.902901
298.619914	7.794960	317.251228	6.731734
298.685961	7.794960	317.314274	6.731734
298.747005	7.768694	317.374316	6.615244
298.798041	7.768694	317.431357	6.615244
298.852078	7.765191	317.488399	6.555439
