NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
8.163767	1.198992	9.194494	6.899680
8.217809	1.198992	9.257539	6.899680
8.262840	1.176947	9.316580	6.899680
8.326882	1.176947	9.384629	6.922218
8.385923	1.176947	9.436665	6.925065
8.443965	1.178562	9.480698	6.925065
8.491999	1.178562	9.544742	6.925065
8.536030	1.194161	9.592779	6.904180
8.573056	1.194161	9.666828	6.904180
8.629096	1.194161	9.723868	6.945423
8.681133	1.183665	9.788915	6.945423
8.733170	1.183665	9.844954	6.975169
8.777200	1.183665	9.897992	6.975169
8.830238	1.182234	9.945024	6.975169
8.884276	1.182234	9.999063	6.946410
8.931310	1.191768	10.053101	6.946410
8.975344	1.191768	10.119148	6.971850
9.024391	1.191768	10.180191	6.971850
9.068406	1.191768	10.245239	6.971850
9.122444	1.183095	10.287266	6.976576
9.174481	1.183095	10.359320	6.976576
9.222516	1.185567	10.413355	6.975423
9.275554	1.185567	10.470398	6.975423
9.322591	1.180655	10.523433	6.997216
9.371623	1.180655	10.588480	6.997216
9.429665	1.180655	10.647521	7.020747
9.489707	1.180473	10.707563	7.020747
9.537738	1.180473	10.765604	7.020747
9.584771	1.180473	10.835654	7.011671
9.630807	1.170865	10.906705	7.011671
9.684844	1.170865	10.972751	7.013459
9.736880	1.174675	11.034794	7.013459
9.778912	1.174675	11.080827	7.049101
9.838950	1.174675	11.143871	7.049101
9.884986	1.186674	11.200912	7.076762
9.943024	1.186674	11.260958	7.076762
9.996061	1.186674	11.327001	7.111298
10.048098	1.195406	11.390045	7.111298
10.103137	1.195406	11.455091	7.111298
10.157179	1.187456	11.513133	7.175357
10.207215	1.187456	11.575193	7.175357
10.262250	1.187456	11.645228	7.200186
10.308285	1.193998	11.707272	7.200186
10.385336	1.193998	11.764310	7.329443
10.427366	1.190304	11.819348	7.329443
10.473399	1.190304	11.872388	7.832618
10.522433	1.190304	11.950445	7.832618
10.565464	1.183677	12.014489	9.655281
10.616499	1.183677	12.088543	9.655281
10.661532	1.183677	12.149585	9.649930
10.705562	1.191980	12.217648	9.649930
10.765622	1.191980	12.271671	9.626080
10.819645	1.173054	12.342719	9.626080
10.882690	1.173054	12.401760	9.638068
10.928720	1.173054	12.462804	9.638068
10.979773	1.177898	12.525850	9.559235
11.030808	1.177898	12.579888	9.559235
11.076825	1.178417	12.634940	9.559235
11.134865	1.178417	12.682977	9.366421
11.191906	1.178417	12.760013	9.366421
11.233935	1.181973	12.811049	9.233660
11.283973	1.181973	12.884101	9.233660
11.330009	1.195836	12.933136	9.056191
11.386046	1.195836	12.999199	9.056191
11.435082	1.195836	13.052222	8.925913
11.484112	1.181860	13.112262	8.925913
11.535149	1.181860	13.178309	8.925913
11.586185	1.181860	13.246356	8.842837
11.634219	1.188102	13.300397	8.842837
11.691258	1.188102	13.359439	8.726093
11.748299	1.187665	13.420480	8.726093
11.796333	1.187665	13.470515	8.565103
11.841369	1.187665	13.528556	8.565103
11.891403	1.190972	13.585599	8.484746
11.944441	1.190972	13.648640	8.484746
11.995474	1.187557	13.711686	8.484746
12.038505	1.187557	13.765740	8.469900
12.093544	1.187557	13.833774	8.469900
12.140576	1.188525	13.880805	8.453370
12.191612	1.188525	13.947854	8.453370
12.240647	1.188525	14.011898	8.471221
12.292684	1.183970	14.069938	8.471221
12.345725	1.183970	14.124977	8.438170
12.409766	1.184451	14.186020	8.438170
12.462803	1.184451	14.241060	8.438170
12.508837	1.184451	14.297099	8.424462
12.559872	1.187995	14.359143	8.424462
12.607907	1.187995	14.428192	8.446265
12.657941	1.187995	14.495242	8.446265
12.702974	1.182185	14.564288	8.442108
12.758029	1.182185	14.640342	8.442108
12.810051	6.848967	14.699385	8.402422
12.867089	6.848967	14.758428	8.402422
12.927131	6.848967	14.814468	8.421689
12.966160	7.246469	14.873506	8.421689
13.025202	7.246469	14.924542	8.417454
13.079239	7.290788	14.981582	8.417454
13.140282	7.290788	15.037622	8.417454
13.192334	7.290788	15.093662	8.411251
13.252363	7.330635	15.159710	8.411251
13.300397	7.330635	15.222753	8.427169
13.349431	7.357576	15.282796	8.427169
13.400467	7.357576	15.334832	8.410670
13.447499	7.357576	15.396876	8.410670
13.492531	7.382053	15.450914	8.373136
13.543571	7.382053	15.506954	8.373136
13.604610	7.382053	15.566997	8.373136
13.656649	7.390059	15.626040	8.392764
13.711686	7.390059	15.682079	8.392764
13.767730	7.397416	15.737115	8.397085
13.824769	7.397416	15.797159	8.397085
13.873804	7.397416	15.856200	8.386272
13.922837	7.410753	15.910238	8.386272
13.974888	7.410753	15.981288	8.386272
14.020905	7.422786	16.040330	8.376221
14.080950	7.422786	16.115385	8.376221
14.128983	7.432783	16.171425	8.387009
14.171010	7.432783	16.233466	8.387009
14.234071	7.432783	16.291507	8.367370
14.282108	7.426774	16.351550	8.367370
14.333125	7.426774	16.409591	8.363673
14.406177	7.426774	16.473637	8.363673
14.473242	7.455633	16.530677	8.386945
14.531268	7.455633	16.591720	8.386945
14.585306	7.448365	16.649761	8.363170
14.647348	7.448365	16.710804	8.363170
14.687378	7.460616	16.773849	8.344426
14.744418	7.460616	16.824884	8.344426
14.805459	7.460616	16.882927	8.344426
14.859514	7.450937	16.934967	8.371400
14.906545	7.450937	17.003029	8.371400
14.951565	7.459540	17.063052	8.339180
14.995599	7.459540	17.120092	8.339180
15.043628	7.459540	17.168127	8.347507
15.089659	7.478808	17.227190	8.347507
15.139695	7.478808	17.301238	8.347507
15.189730	7.478808	17.366269	8.347854
15.243769	7.468914	17.416306	8.347854
15.298807	7.468914	17.469339	8.338136
15.345845	7.460262	17.542392	8.338136
15.391873	7.460262	17.599433	8.323519
15.443909	7.460262	17.650467	8.323519
15.490944	7.492097	17.708509	8.323519
15.538977	7.492097	17.765549	8.337734
15.604023	7.492097	17.827592	8.337734
15.658064	7.485075	17.882632	8.322555
15.715101	7.485075	17.947677	8.322555
15.766137	7.479492	18.005718	8.316246
15.831201	7.479492	18.055754	8.316246
15.881218	7.482056	18.124802	8.322138
15.928252	7.482056	18.189849	8.322138
15.974284	7.482056	18.251893	8.322138
16.021318	7.493507	18.312936	8.300866
16.074355	7.493507	18.366973	8.300866
16.120388	7.506662	18.421012	8.305195
16.163417	7.506662	18.492062	8.305195
16.222460	7.506662	18.552104	8.327220
16.269493	7.493185	18.598137	8.327220
16.318527	7.493185	18.667187	8.283225
16.373566	7.493185	18.760252	8.283225
16.420600	7.510167	18.819293	8.296649
16.469634	7.510167	18.866326	8.296649
16.518668	7.510167	18.934375	8.301716
16.565705	7.494397	19.009428	8.301716
16.623743	7.494397	19.067468	8.291956
16.676780	7.491444	19.133515	8.291956
16.743831	7.491444	19.184551	8.299942
16.804873	7.491444	19.241594	8.299942
16.865914	7.522265	19.310640	8.299942
16.925956	7.522265	19.373685	8.301981
16.976994	7.495408	19.422719	8.301981
17.047042	7.495408	19.467751	8.295714
17.091073	7.503475	19.532797	8.295714
17.139107	7.503475	19.584834	8.295185
17.189142	7.518217	19.652884	8.295185
17.236176	7.518217	19.722931	8.295185
17.285211	7.518217	19.795984	8.301775
17.334245	7.516730	19.860048	8.301775
17.387282	7.516730	19.935083	8.293058
17.441320	7.516730	19.996127	8.282550
17.487354	7.526817	20.064174	8.282550
17.550398	7.526817	20.130219	8.289754
17.607441	7.526817	20.196266	8.289754
17.666484	7.520513	20.261312	8.275032
17.720520	7.520513	20.323356	8.275032
17.771556	7.523604	20.390403	8.296314
17.829595	7.523604	20.438455	8.296314
17.880630	7.521172	20.506487	8.296314
17.930667	7.521172	20.569548	8.296950
17.990710	7.521172	20.628573	8.296950
18.050751	7.510021	20.688632	8.262397
18.112794	7.510021	20.751658	8.262397
18.155826	7.539080	20.798691	8.280603
18.213868	7.539080	20.851728	8.280603
18.264902	7.538278	20.909770	8.243463
18.315938	7.538278	20.973815	8.243463
18.364974	7.538278	21.037860	8.243463
18.423013	7.540304	21.091902	8.272195
18.486073	7.540304	21.167955	8.272195
18.531093	7.541423	21.235003	8.299230
18.578130	7.541423	21.295044	8.299230
18.635168	7.541423	21.342077	8.269389
18.684201	7.522549	21.392113	8.269389
18.758250	7.522549	21.445150	8.277395
18.801281	7.546347	21.507194	8.277395
18.861325	7.546347	21.556229	8.277395
18.915362	7.546347	21.612266	8.289510
18.959393	7.558317	21.681316	8.289510
19.007427	7.558317	21.743359	8.278802
19.056461	7.558720	21.796399	8.278802
19.098491	7.558720	21.851437	8.255335
19.149528	7.558720	21.913479	8.255335
19.198562	7.547131	21.970519	8.286767
19.254601	7.547131	22.027559	8.286767
19.307655	7.547131	22.082598	8.286767
19.353671	7.548864	22.127631	8.265468
19.401706	7.548864	22.191675	8.265468
19.453742	7.556362	22.249717	8.300026
19.501776	7.556362	22.297767	8.300026
19.554813	7.556362	22.359796	8.300026
19.606850	7.574892	22.433850	8.396757
19.662906	7.574892	22.502895	8.396757
19.723932	7.574892	22.555949	8.423090
19.787978	7.565841	22.613973	8.423090
19.862030	7.565841	22.666011	8.503232
19.910064	7.551599	22.716046	8.503232
19.969107	7.551599	22.768086	8.621550
20.015154	7.572224	22.828128	8.621550
20.070181	7.572224	22.903195	8.621550
20.119213	7.572224	22.967225	8.652674
20.176252	7.581130	23.031286	8.652674
20.226288	7.581130	23.088309	8.752794
20.270319	7.590063	23.146350	8.752794
20.319354	7.590063	23.193385	8.815538
20.371390	7.590063	23.263433	8.815538
20.414421	7.576081	23.319472	8.819143
20.473462	7.576081	23.377513	8.819143
20.519495	7.576081	23.441558	8.819143
20.568530	7.592011	23.503602	8.856559
20.639583	7.592011	23.557656	8.856559
20.696635	7.583458	23.616685	8.928115
20.744654	7.583458	23.675726	8.928115
20.788685	7.592751	23.725762	8.942309
20.831716	7.592751	23.788821	8.942309
20.884753	7.592751	23.850864	8.942309
20.926784	7.581717	23.907905	8.910476
20.978835	7.581717	23.962928	8.910476
21.040863	7.581717	24.015966	8.895437
21.087896	7.601867	24.072006	8.895437
21.149940	7.601867	24.128046	8.864338
21.196973	7.601867	24.182081	8.864338
21.244008	7.587096	24.238120	8.848852
21.314060	7.587096	24.285154	8.848852
21.359104	7.605640	24.341210	8.848852
21.411125	7.605640	24.390244	8.892322
21.458158	7.605640	24.442282	8.892322
21.504190	7.605850	24.495305	8.892322
21.559230	7.605850	24.552360	8.879163
21.609264	7.621575	24.608385	8.879163
21.655298	7.621575	24.662423	8.843367
21.705332	7.621575	24.715459	8.843367
21.747362	7.616318	24.773502	8.851809
21.796398	7.616318	24.816529	8.851809
21.850435	7.616318	24.867568	8.851809
21.905475	7.611124	24.920605	8.837709
21.958515	7.611124	24.970640	8.837709
22.016568	7.633179	25.026681	8.837709
22.066590	7.633179	25.080716	8.825255
22.121626	7.633179	25.140773	8.825255
22.167659	7.630631	25.187791	8.812311
22.224701	7.630631	25.237830	8.812311
22.273734	7.641411	25.289866	8.812311
22.333776	7.641411	25.348909	8.804607
22.388815	7.641411	25.426961	8.804607
22.443857	7.613961	25.488004	8.769304
22.502895	7.613961	25.541059	8.769304
22.556934	7.622851	25.597097	8.787783
22.622981	7.622851	25.657123	8.787783
22.672015	7.638980	25.721169	8.794695
22.728058	7.638980	25.769220	8.794695
22.778093	7.638980	25.827246	8.794695
22.828129	7.642215	25.885284	8.759573
22.891170	7.642215	25.939339	8.759573
22.957216	7.642215	25.993363	8.783971
23.011272	7.628894	26.051404	8.783971
23.064292	7.640609	26.109446	8.770529
23.121333	7.640609	26.171486	8.770529
23.186378	7.640609	26.226525	8.770529
23.232411	7.642440	26.285568	8.769358
23.288470	7.642440	26.329614	8.769358
23.342504	7.644243	26.373633	8.799192
23.393526	7.644243	26.436674	8.799192
23.448566	7.644243	26.504722	8.799192
23.493598	7.640505	26.559779	8.826160
23.555639	7.640505	26.616818	8.826160
23.607677	7.641455	26.700861	8.810666
23.663715	7.641455	26.761903	8.810666
23.718754	7.641455	26.812940	8.854800
23.766789	7.648951	26.881989	8.854800
23.816824	7.648951	26.933024	8.911045
23.870863	7.653625	26.997070	8.911045
23.928905	7.653625	27.044118	8.965658
23.981943	7.653625	27.115156	8.965658
24.029974	7.673265	27.181203	8.965658
24.090019	7.673265	27.239258	9.242453
24.149058	7.661300	27.302301	9.242453
24.211102	7.661300	27.349319	7.857122
24.262138	7.661300	27.405358	7.857122
24.325186	7.654855	27.457395	7.847505
24.368213	7.654855	27.521441	7.847505
24.418249	7.673532	27.571476	7.847505
24.468301	7.673532	27.639524	7.845886
24.523323	7.673532	27.691560	7.845886
24.569374	7.669467	27.740598	7.860838
24.629398	7.669467	27.811647	7.860838
24.689440	7.657453	27.869686	7.844513
24.745481	7.657453	27.924725	7.844513
24.804522	7.657453	27.980765	7.807689
24.864564	7.657501	28.032804	7.807689
24.914599	7.657501	28.090843	7.807689
24.959631	7.664446	28.140897	7.802649
25.016673	7.664446	28.197921	7.802649
25.072711	7.650844	28.258965	7.810440
25.121746	7.650844	28.316004	7.810440
25.187792	7.650844	28.370043	7.815065
25.237828	7.669755	28.436106	7.815065
25.306876	7.669755	28.508137	7.815065
25.353910	7.664133	28.568180	7.797944
25.404947	7.664133	28.620216	7.797944
25.449981	7.658827	28.676256	7.776200
25.494010	7.658827	28.753310	7.776200
25.554054	7.658827	28.815354	7.761780
25.613095	7.659075	28.876397	7.761780
25.662131	7.659075	28.923431	7.754088
25.727173	7.659075	29.001486	7.754088
25.774207	7.658294	29.050521	7.769373
25.843255	7.658294	29.105559	7.769373
25.894291	7.665527	29.151591	7.769373
25.948329	7.665527	29.220641	7.789770
26.003368	7.667138	29.276681	7.789770
