V	I
104.9	1.453
127.4	1.646
178.0	2.092
185.2	2.127
249.5	2.482
209.9	2.288
149.4	1.884
140.8	1.828
160.7	1.960
194.3	2.173
154.7	1.884
164.9	1.984
185.9	2.116
197.1	2.186
202.0	2.220
211.0	2.267
219.8	2.320
223.9	2.361
231.9	2.399
241.2	2.446
249.0	2.480
258.7	2.528
265.6	2.577
274.3	2.611
284.3	2.668
291.8	2.698
302.8	2.748
302.9	2.765
289.2	2.701
282.2	2.648
270.5	2.609
261.3	2.561
254.5	2.503
241.0	2.449
230.3	2.390
223.1	2.345
216.8	2.312
