V	I
104.9	0.836
127.4	1.009
178.0	1.210
185.2	1.236
249.5	1.463
209.9	1.326
149.4	1.100
140.8	1.057
160.7	1.131
194.3	1.273
303.0	1.613
292.5	1.584
288.4	1.576
279.6	1.543
265.3	1.503
258.2	1.485
253.3	1.463
244.4	1.440
234.5	1.406
227.0	1.390
221.5	1.369
214.0	1.341
205.0	1.315
193.3	1.263
181.7	1.223
176.8	1.210
171.2	1.186
161.7	1.141
157.0	1.128
150.3	1.102
